file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
020323_055559-387575.pdf	adobe	Y	Y	1
020323_055614-585039.PDF	adobe			0
020323_072509-446474.pdf	cairo			0
020323_072633-546742.pdf	office_print			0
020323_080210-636233.pdf	other			0
020523_013244-566265.pdf	bcsi_packdesign			0
020523_013254-285025.PDF	bcsi_packdesign			0
020523_020802-555488.pdf	adobe			0
020523_023604-326620.PDF	bcsi_packdesign			0
020523_023641-564949.PDF	bcsi_packdesign			0
020523_025054-851622.pdf	office_print			0
020523_025235-643629.PDF	adobe			0
020523_025245-622122.pdf	adobe	Y	Y	1
020523_025558-851292.pdf	other			0
020523_061842-242113.PDF	bcsi_packdesign			0
020523_062058-304995.pdf	other			0
020523_062250-641015.pdf	office_print			0
020523_062616-647320.pdf	bcsi_packdesign			0
020523_062620-418030.pdf	adobe			0
020523_062950-205021.pdf	adobe			0
020523_063136-378929.pdf	other			0
020523_063459-891746.pdf	bcsi_packdesign			0
020523_063502-581650.pdf	adobe			0
020523_063903-471191.pdf	other			0
020523_064034-309711.pdf	adobe			0
020523_064304-126434.pdf	adobe			0
020523_064317-538990.pdf	adobe			0
020523_064323-105292.pdf	bcsi_packdesign			0
020523_064324-413078.pdf	adobe			0
020523_064422-166129.PDF	bcsi_packdesign			0
020523_064518-198229.pdf	bcsi_packdesign			0
020523_064557-608665.pdf	other			0
020523_064804-738281.pdf	adobe			0
020523_065107-472124.pdf	adobe			0
020523_065136-646360.pdf	adobe			0
020523_065352-121481.pdf	other			0
020523_070304-306795.pdf	cairo			0
020523_070821-657794.PDF	bcsi_packdesign			0
020523_070827-579983.pdf	bcsi_packdesign			0
020523_071835-821988.pdf	cairo			0
020523_071951-954692.pdf	cairo			0
020523_072124-886152.pdf	bcsi_packdesign			0
020523_072152-838010.PDF	bcsi_packdesign			0
020523_072245-897923.pdf	cairo			0
020523_072740-562428.pdf	cairo			0
020523_073351-227149.PDF	bcsi_packdesign			0
020523_073359-594134.pdf	bcsi_packdesign			0
020523_074420-314813.pdf	bcsi_packdesign			0
020523_074430-347669.PDF	bcsi_packdesign			0
020523_082205-952829.pdf	adobe			0
020523_082830-136698.pdf	other			0
020523_092030-399320.pdf	other			0
020523_092955-211932.pdf	other			0
020622_015616.pdf	other			0
020622_040821.pdf	cairo			0
020622_043241.pdf	bcsi_packdesign			0
020622_043251.PDF	bcsi_packdesign			0
020622_074336.pdf	other			0
020622_080008.pdf	other			0
020622_080621.pdf	adobe			0
020622_095136.pdf	cairo			0
020623_010513-446082.pdf	adobe			0
020623_011136-211749.pdf	bcsi_packdesign			0
020623_011142-514788.PDF	bcsi_packdesign			0
020623_015030-737679.pdf	cairo			0
020623_022455-849060.pdf	cairo			0
020623_035832-855349.pdf	cairo			0
020623_060649-508873.pdf	adobe			0
020623_074029-327662.PDF	adobe			0
020623_074033-692848.PDF	adobe			0
020623_074036-155682.PDF	adobe			0
020623_074041-756297.pdf	adobe	Y	Y	1
020623_075536-562574.pdf	adobe			0
020623_085705-189490.pdf	adobe			0
020623_085720-202170.pdf	adobe			0
020623_092530-166038.PDF	bcsi_packdesign			0
020623_092735-293771.PDF	bcsi_packdesign			0
020623_092905-459654.PDF	bcsi_packdesign			0
020623_095917-293854.PDF	adobe			0
020623_095924-199910.pdf	adobe			0
020722_014859.pdf	office_print			0
020722_014906.pdf	other			0
020722_042250.pdf	adobe			0
020722_042309.pdf	cairo			0
020822_033847.pdf	adobe			0
