relative_path	sha256	file_size	producer_raw	profile	profile_version	code_version	page_count	cut_len	crease_len	total_stroke_len	cov_cut	cov_crease	assigned_coverage_total	dist_cut	dist_crease	ambiguous_len	unassigned_len	neutral_len	other_structural	other_colors	n_up_guess	component_count	extracted
test/uploads/120723_111956-318895.pdf	9eb74072e20c82cfeed29349693cfa3c9204259f1195fbcc25db607b645d5059	519265	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	44412	7178	141915	0.313	0.051	0.364	0.0	0.0	0	3745	3134	1	(0.93, 0.42, 0.23):3745	7	884	1
test/uploads/120723_112003-414549.pdf	8af2561fba56622613c68368f669fdca18728eae4568a5d05359b4a1b37441af	517711	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43770	7178	138859	0.315	0.052	0.367	0.0	0.0	0	3743	3130	1	(0.0, 0.46, 0.74):3743	7	872	1
test/uploads/120723_112010-128169.pdf	58b5cdef97ea4806ae4962f34f160605cff90267590e69e981c691231d095eaf	528913	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43946	7178	142006	0.309	0.051	0.36	0.0	0.0	0	3746	3128	1	(0.95, 0.72, 0.15):3746	7	875	1
test/uploads/120723_115002-553023.pdf	b7a6811000f06b1edc81c7833c58460e194252db0d476c1b537fc4210e95f0a2	518556	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	44432	7178	142336	0.312	0.05	0.363	0.0	0.0	0	3745	3134	1	(0.89, 0.27, 0.49):3745	7	886	1
test/uploads/120723_115007-556650.pdf	8a43c486b4703525bb89a07760e03d2657ea4dbea81ed5176634d21b00a26e65	533491	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43663	7178	142842	0.306	0.05	0.356	0.0	0.0	0	3745	3137	1	(0.0, 0.68, 0.67):3745	7	867	1
test/uploads/120723_115011-971513.pdf	a477c19ac0175706c1313d5a353a77f6d422c6961321fff1b1b0ca5a36405aa5	548589	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43802	7178	144908	0.302	0.05	0.352	0.0	0.0	0	3745	3135	1	(0.61, 0.39, 0.65):3745	7	868	1
test/uploads/120723_115015-333677.pdf	9eb74072e20c82cfeed29349693cfa3c9204259f1195fbcc25db607b645d5059	519265	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	44412	7178	141915	0.313	0.051	0.364	0.0	0.0	0	3745	3134	1	(0.93, 0.42, 0.23):3745	7	884	1
test/uploads/120723_115019-596774.pdf	8af2561fba56622613c68368f669fdca18728eae4568a5d05359b4a1b37441af	517711	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43770	7178	138859	0.315	0.052	0.367	0.0	0.0	0	3743	3130	1	(0.0, 0.46, 0.74):3743	7	872	1
test/uploads/120723_115024-365714.pdf	58b5cdef97ea4806ae4962f34f160605cff90267590e69e981c691231d095eaf	528913	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	43946	7178	142006	0.309	0.051	0.36	0.0	0.0	0	3746	3128	1	(0.95, 0.72, 0.15):3746	7	875	1
test/uploads/120723_173701-367340.pdf	9b607f298dcdef6a0d4b6707f1634de515a63e6d85e17cb382f8d581d1b21dc5	168266	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	21059	0	26052	0.808	0.0	0.808	0.0	0.0	0	0	4994	0		1	46	0
test/uploads/120922_074815-997632.pdf	dfa09edf792729892f585f28a1ac94afd718516e54c56820730583bb79eedeb2	134682	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	38265	16147	59405	0.644	0.272	0.916	0.0	0.0	0	0	4994	0		5	58	1
test/uploads/121222_004946-749871.pdf	b719cab0319d271b66bfbb37494e57985ebdfc025265b897b3b0806017e27d86	131019	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	22319	4465	31777	0.702	0.141	0.843	0.0	0.0	0	0	4994	0		3	136	1
test/uploads/121222_050920-796486.pdf	8dfa87cdfb10b6de367a9525abc3fb46a859dd9b3d02655c368a559c9ac832b9	131642	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	11339	0	17192	0.66	0.0	0.66	0.0	0.0	0	0	5854	0		1	1	0
test/uploads/121222_052400-933635.pdf	8dfa87cdfb10b6de367a9525abc3fb46a859dd9b3d02655c368a559c9ac832b9	131642	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	11339	0	17192	0.66	0.0	0.66	0.0	0.0	0	0	5854	0		1	1	0
test/uploads/121222_052702-839517.pdf	8dfa87cdfb10b6de367a9525abc3fb46a859dd9b3d02655c368a559c9ac832b9	131642	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	11339	0	17192	0.66	0.0	0.66	0.0	0.0	0	0	5854	0		1	1	0
test/uploads/121222_083508-155590.pdf	f7bfc6e2307187024eee1cc3ef1781fb2aec575540b7587a6bd1273d00294950	260683	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	15056	0	15056	1.0	0.0	1.0	0.0	0.0	0	0	0	0		1	164	0
test/uploads/130223_003050-397127.pdf	8b360ab4032a1adf5e5e15826a7ad6e5085453ed157bdb686052e3fb2c8f82f6	143512	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	33715	19093	57802	0.583	0.33	0.914	0.0	0.0	0	0	4994	0		4	170	1
test/uploads/130223_035601-849937.pdf	7c0c5345a81295cbb8324daf529ce2ff459243b41902a938160de90826734f5c	359385	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	29915	10807	40722	0.735	0.265	1.0	0.0	0.0	0	0	0	0		4	202	1
test/uploads/130223_035612-593239.pdf	fc3d7e10f5d157a49e2eedb6adc1a57edeec557586efe808fb7819b453aa4653	288271	Adobe PDF library 15.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	860	0	6887	0.125	0.0	0.125	0.0	0.0	0	0	1221	0		1	16	0
test/uploads/130223_044252-955561.pdf	83fb7b04868f70f029ab5172637f296df3d0ca8adedc22d4e383317c1d38d960	347676	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	23370	10824	34193	0.683	0.317	1.0	0.0	0.0	0	0	0	0		4	127	1
test/uploads/130223_045033-304036.pdf	61aaf7afa8f3fa636c9a332423f2cc5adcd826d737a52107ed3413e940f23259	280571	Adobe PDF library 16.07	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	21408	8936	30344	0.706	0.294	1.0	0.0	0.0	0	0	0	0		3	85	1
test/uploads/130223_053730-907173.pdf	6b7e13c5d3f5e19f87b348fbee70674425c6ce78e03cc4fa51d5c936d1ff86f5	174886	Adobe PDF library 16.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	48095	24079	77168	0.623	0.312	0.935	0.0	0.0	0	0	4994	0		16	246	1
test/uploads/130323_062132-749395.pdf	391dd4b1d1c887f9edb8102ea5448143f333f8d006e9d1b493be087d73e6991a	176116	Adobe PDF library 17.00	adobe_ocg_v1	adobe_ocg_v1	dd47a14	1	35069	25084	65147	0.538	0.385	0.923	0.0	0.0	0	0	4994	0		1	337	1
