file	profile	cut_len	crease_len	total_len	cov_cut	cov_crease	dist_cut	dist_crease	ambiguous	extracted
280223_071536-679145.pdf	bcsi_packdesign_2008_v1	20940	14762	44937	0.466	0.328	0.0	0.0		Y
280223_071544-689482.PDF	bcsi_packdesign_2008_v1	5297	3746	22903	0.231	0.164	0.0	0.0		Y
280223_073546-142384.pdf	bcsi_packdesign_2008_v1	22113	10791	45409	0.487	0.238	0.0	0.0		Y
280223_073558-183314.PDF	bcsi_packdesign_2008_v1	7471	3686	32954	0.227	0.112	0.0	0.0		Y
280223_073957-374132.PDF	bcsi_packdesign_2008_v1	4403	2989	19915	0.221	0.15	0.0	0.0		Y
280223_074005-619953.pdf	bcsi_packdesign_2008_v1	21702	14668	46123	0.471	0.318	0.0	0.0		Y
280223_074704-752075.PDF	bcsi_packdesign_2008_v1	3378	0	8347	0.405	0.0	0.199	9.9		
280223_075609-468630.pdf	bcsi_packdesign_2008_v1	13154	6984	26478	0.497	0.264	0.0	0.0		Y
280223_075630-926514.PDF	bcsi_packdesign_2008_v1	13273	7089	44796	0.296	0.158	0.0	0.0		Y
280223_075737-776844.PDF	bcsi_packdesign_2008_v1	4235	892	16479	0.257	0.054	0.0	0.0		Y
280223_075745-662156.pdf	bcsi_packdesign_2008_v1	12480	2477	21757	0.574	0.114	0.0	0.0		Y
280223_075922-377878.PDF	bcsi_packdesign_2008_v1	13763	7495	43898	0.314	0.171	0.0	0.0		Y
280223_075948-472242.pdf	bcsi_packdesign_2008_v1	13648	7394	27664	0.493	0.267	0.0	0.0		Y
280223_080043-752158.PDF	bcsi_packdesign_2008_v1	4403	936	18044	0.244	0.052	0.0	0.0		Y
280223_080051-608189.pdf	bcsi_packdesign_2008_v1	12939	2568	22307	0.58	0.115	0.0	0.0		Y
280223_080233-702043.PDF	bcsi_packdesign_2008_v1	7320	3856	31084	0.235	0.124	0.0	0.0		Y
280223_080304-382660.pdf	bcsi_packdesign_2008_v1	14410	7508	28449	0.507	0.264	0.0	0.0		Y
280223_080510-564949.PDF	bcsi_packdesign_2008_v1	4308	1833	20289	0.212	0.09	0.0	0.0		Y
280223_080518-104452.pdf	bcsi_packdesign_2008_v1	8437	3506	18470	0.457	0.19	0.0	0.0		Y
280223_080631-445479.PDF	bcsi_packdesign_2008_v1	7777	4158	31605	0.246	0.132	0.0	0.0		Y
280223_080638-489652.pdf	bcsi_packdesign_2008_v1	15354	8138	30023	0.511	0.271	0.0	0.0		Y
280223_080737-994453.PDF	bcsi_packdesign_2008_v1	4756	2135	21545	0.221	0.099	0.0	0.0		Y
280223_080746-335359.pdf	bcsi_packdesign_2008_v1	9332	4112	19972	0.467	0.206	0.0	0.0		Y
280223_081857-355422.pdf	bcsi_packdesign_2008_v1	13410	11035	30812	0.435	0.358	0.0	0.0		Y
280223_081907-472718.PDF	bcsi_packdesign_2008_v1	4516	3721	21867	0.207	0.17	0.0	0.0		Y
280323_053833-877952.PDF	bcsi_packdesign_2008_v1	6749	3950	28424	0.237	0.139	0.0	0.0		Y
280323_053840-533681.pdf	bcsi_packdesign_2008_v1	26813	15630	54894	0.488	0.285	0.0	0.0		Y
280323_061126-551853.PDF	bcsi_packdesign_2008_v1	5385	4127	24114	0.223	0.171	0.0	0.0		Y
280323_061140-872616.pdf	bcsi_packdesign_2008_v1	21271	16270	45394	0.469	0.358	0.0	0.0		Y
280323_080057-308742.PDF	bcsi_packdesign_2008_v1	4903	4389	23048	0.213	0.19	0.0	0.0		Y
280323_080100-695224.pdf	bcsi_packdesign_2008_v1	9715	8692	59313	0.164	0.147	0.0	0.0		Y
280323_081940-516442.pdf	bcsi_packdesign_2008_v1	19554	14801	41120	0.476	0.36	0.0	0.0		Y
280323_081948-236435.PDF	bcsi_packdesign_2008_v1	3292	2498	15859	0.208	0.157	0.0	0.0		Y
280423_062847-998410.pdf	bcsi_packdesign_2008_v1	21092	14901	52525	0.402	0.284	0.0	0.0		Y
280423_062854-835369.PDF	bcsi_packdesign_2008_v1	5335	3780	25053	0.213	0.151	0.0	0.0		Y
280423_082955-754287.PDF	bcsi_packdesign_2008_v1	2626	1469	9619	0.273	0.153	0.03	0.079		Y
280622_092908.PDF	bcsi_packdesign_2008_v1	2877	1566	8113	0.355	0.193	0.0	0.0		Y
280622_092914.pdf	bcsi_packdesign_2008_v1	17067	9229	32904	0.519	0.28	0.0	0.0		Y
280623_123211-666267.pdf	bcsi_packdesign_2008_v1	21869	16434	46025	0.475	0.357	0.0	0.0		Y
280623_123215-182747.PDF	bcsi_packdesign_2008_v1	5513	4151	24162	0.228	0.172	0.0	0.0		Y
280823_101230-462636.PDF	bcsi_packdesign_2008_v1	11055	6204	38878	0.284	0.16	0.0	0.0		Y
280823_101239-463559.pdf	bcsi_packdesign_2008_v1	10969	6128	23658	0.464	0.259	0.0	0.0		Y
280823_145410-858976.pdf	bcsi_packdesign_2008_v1	22006	18187	48611	0.453	0.374	0.0	0.0		Y
280823_145419-713751.PDF	bcsi_packdesign_2008_v1	3714	3074	18528	0.2	0.166	0.0	0.0		Y
280922_015352-108472.pdf	bcsi_packdesign_2008_v1	25377	20185	56495	0.449	0.357	0.0	0.0		Y
280922_070016-933999.PDF	bcsi_packdesign_2008_v1	9781	6920	35393	0.276	0.196	0.0	0.0		Y
280922_070230-269522.PDF	bcsi_packdesign_2008_v1	8641	6659	31913	0.271	0.209	0.0	0.0		Y
280922_091358-236581.pdf	bcsi_packdesign_2008_v1	4010	2908	12179	0.329	0.239	0.03	0.079		Y
280922_091604-461613.pdf	bcsi_packdesign_2008_v1	4010	2908	12179	0.329	0.239	0.03	0.079		Y
280922_091700-527521.pdf	bcsi_packdesign_2008_v1	4010	2908	12179	0.329	0.239	0.03	0.079		Y
280922_091919-259824.pdf	bcsi_packdesign_2008_v1	3712	2795	11248	0.33	0.248	0.182	0.089		Y
280922_092038-421880.pdf	bcsi_packdesign_2008_v1	3712	2795	11248	0.33	0.248	0.182	0.089		Y
280922_092146-471823.pdf	bcsi_packdesign_2008_v1	3712	2795	11248	0.33	0.248	0.182	0.089		Y
281022_032837-732370.PDF	bcsi_packdesign_2008_v1	3070	0	10975	0.28	0.0	0.01	9.9		
281022_062623-692674.pdf	bcsi_packdesign_2008_v1	17868	9723	33445	0.534	0.291	0.0	0.0		Y
281022_062628-566868.PDF	bcsi_packdesign_2008_v1	4538	2497	13149	0.345	0.19	0.0	0.0		Y
281022_062704-485247.pdf	bcsi_packdesign_2008_v1	22141	11217	39212	0.565	0.286	0.0	0.0		Y
281022_062712-614470.PDF	bcsi_packdesign_2008_v1	3741	1916	10695	0.35	0.179	0.0	0.0		Y
281022_081229-479744.PDF	bcsi_packdesign_2008_v1	6647	4687	21954	0.303	0.213	0.0	0.0		Y
281022_081246-837534.pdf	bcsi_packdesign_2008_v1	26388	18564	51921	0.508	0.358	0.0	0.0		Y
281122_021156-675034.pdf	bcsi_packdesign_2008_v1	23934	16829	62280	0.384	0.27	0.0	0.0		Y
281122_021202-461046.PDF	bcsi_packdesign_2008_v1	6037	4256	25833	0.234	0.165	0.0	0.0		Y
281122_021751-443651.pdf	bcsi_packdesign_2008_v1	23934	16829	62280	0.384	0.27	0.0	0.0		Y
281122_021822-345057.PDF	bcsi_packdesign_2008_v1	6037	4256	25833	0.234	0.165	0.0	0.0		Y
281122_082948-544138.pdf	bcsi_packdesign_2008_v1	0	2551	10059	0.0	0.254	9.9	0.085		
281122_084142-635731.pdf	bcsi_packdesign_2008_v1	37857	27401	75802	0.499	0.361	0.0	0.0		Y
281122_084202-496710.PDF	bcsi_packdesign_2008_v1	4796	3485	14988	0.32	0.232	0.0	0.0		Y
281222_021444-916066.PDF	bcsi_packdesign_2008_v1	2611	1774	9062	0.288	0.196	0.0	0.0		Y
281222_021454-821414.pdf	bcsi_packdesign_2008_v1	20540	13874	41019	0.501	0.338	0.0	0.0		Y
281222_030925-612543.PDF	bcsi_packdesign_2008_v1	6417	3327	18043	0.356	0.184	0.0	0.0		Y
281222_030937-325926.pdf	bcsi_packdesign_2008_v1	38045	19536	64292	0.592	0.304	0.0	0.0		Y
290323_040329-944447.PDF	bcsi_packdesign_2008_v1	5103	2627	23023	0.222	0.114	0.0	0.0		Y
290323_040334-575159.pdf	bcsi_packdesign_2008_v1	20163	10288	42092	0.479	0.244	0.0	0.0		Y
290323_041415-731593.PDF	bcsi_packdesign_2008_v1	4810	2929	19169	0.251	0.153	0.0	0.0		Y
290323_041419-735431.pdf	bcsi_packdesign_2008_v1	18990	11496	38212	0.497	0.301	0.0	0.0		Y
290323_042334-909667.PDF	bcsi_packdesign_2008_v1	48	899	7500	0.006	0.12	0.0	0.0		
290323_042338-588274.pdf	bcsi_packdesign_2008_v1	0	6849	14713	0.0	0.465	0.0	0.0		
290323_060422-864417.PDF	bcsi_packdesign_2008_v1	8733	5137	23039	0.379	0.223	0.034	0.081		Y
290323_060825-334217.PDF	bcsi_packdesign_2008_v1	8733	5137	23039	0.379	0.223	0.034	0.081		Y
290323_065214-842288.PDF	bcsi_packdesign_2008_v1	8733	5137	23039	0.379	0.223	0.034	0.081		Y
290323_065653-165745.PDF	bcsi_packdesign_2008_v1	8733	5137	23039	0.379	0.223	0.034	0.081		Y
290323_070114-832912.pdf	bcsi_packdesign_2008_v1	21567	10827	44671	0.483	0.242	0.0	0.0		Y
290323_070119-229377.PDF	bcsi_packdesign_2008_v1	5452	54	23850	0.229	0.002	0.036	0.079		
290323_071649-928980.pdf	bcsi_packdesign_2008_v1	20192	12111	40011	0.505	0.303	0.0	0.0		Y
290323_071653-156193.PDF	bcsi_packdesign_2008_v1	5110	3083	19624	0.26	0.157	0.0	0.0		Y
290323_074244-505483.PDF	bcsi_packdesign_2008_v1	48	880	7290	0.007	0.121	0.0	0.0		
290323_074248-597132.pdf	bcsi_packdesign_2008_v1	0	6705	14220	0.0	0.471	0.0	0.0		
290323_094118-607377.PDF	bcsi_packdesign_2008_v1	2929	1368	6768	0.433	0.202	0.03	0.079		Y
290423_020934-415453.PDF	bcsi_packdesign_2008_v1	6186	2577	23013	0.269	0.112	0.0	0.0		Y
290423_020954-899010.pdf	bcsi_packdesign_2008_v1	23851	10984	42687	0.559	0.257	0.0	0.0		Y
